Date,Open,High,Low,Close,Volume
2012-01-31,93.9615,113.126,93.6372,112.165,2238854.9132713
2012-02-29,113.025,117.889,92.2223,102.143,2246000.4081627
2012-03-31,102.639,107.516,92.56,99.9811,1725002.9284166
2012-04-30,100.778,109.327,99.2487,109.327,1355096.5414084
2012-05-31,110.275,111.625,77.4096,78.9259,2286376.0040772
2012-06-30,77.4673,97.7028,74.4145,93.8172,1489475.8347755
2012-07-31,94.5211,101.131,87.2657,100.01,1037601.5868296
2012-08-31,99.8288,105.29,94.5362,101.654,995103.08428951
2012-09-30,101.532,109.419,96.5392,104.169,872280.75538535
2012-10-31,104.104,110.648,99.3842,107.229,726437.76623991
2012-11-30,106.173,111.344,92.5163,106.008,921992.96424284
2012-12-31,106.021,106.948,98.1421,101.942,440732.12031866
2013-01-31,104.607,121.166,102.179,109.614,1219586.8872676
2013-02-28,110.678,112.322,98.9253,107.99,925274.07304061
2013-03-31,108.192,109.419,99.5062,101.733,788505.9876935
2013-04-30,101.684,109.657,93.1846,107.02,912828.96796973
2013-05-31,107.135,111.863,98.0049,100.857,3804012.0212329
2013-06-30,102.387,104.413,87.4307,96.5535,1740450.7283015
2013-07-31,95.1893,99.1258,88.2135,92.2223,1299218.8548822
2013-08-31,92.2223,94.2618,76.7563,81.0442,1926200.185799
2013-09-30,79.6723,82.6317,76.3398,77.2159,978220.06031865
2013-10-31,75.2547,85.4339,73.4016,77.4243,1600010.3625096
2013-11-30,76.0161,80.7642,74.4502,76.4758,1297907.525019
2013-12-31,76.1674,76.3398,65.9134,71.814,2430771.2405074
2014-01-31,71.1603,79.5294,71.1603,77.5177,1162812.7077138
2014-02-28,77.87,90.5125,74.5941,88.4723,1308311.8555894
2014-03-31,87.5463,97.6387,87.4096,94.4489,1429573.674115
2014-04-30,94.4997,97.7394,90.8644,95.1172,753333.94913413
2014-05-31,93.8537,94.7002,86.2532,87.2519,791304.04822956
2014-06-30,86.842,87.2876,80.8503,84.8371,851149.1340234
2014-07-31,85.1032,87.4234,73.9043,77.2159,960258.18216099
2014-08-31,77.1655,80.0252,70.3385,70.9476,1118578.2939854
2014-09-30,70.7629,72.9057,62.2928,63.5902,1080210.0628933
2014-10-31,63.4429,64.7856,49.8287,56.4052,1413385.2930334
2014-11-30,56.8247,57.5618,50.0794,50.8862,1241516.1646928
2014-12-31,50.8862,51.0794,40.3679,46.15,2118088.6716367
2015-01-31,47.2893,57.9971,45.1069,55.4405,1007296.2247051
2015-02-28,55.911,69.4139,52.1187,68.3665,1255605.3043374
2015-03-31,68.7983,70.4475,61.9222,64.1146,890850.96809737
2015-04-30,63.8653,71.4339,63.1362,70.9886,682563.89862037
2015-05-31,70.9886,78.5883,69.7493,71.6702,963373.63463845
2015-06-30,71.7062,71.9074,60.9503,63.5262,677623.44247982
2015-07-31,64.0125,65.5714,60.1456,64.6706,578552.61052412
2015-08-31,64.8179,64.8179,51.1361,58.0157,1272865.5792561
2015-09-30,57.4907,59.4697,48.5327,48.6901,966873.29841343
2015-10-31,48.6901,56.0316,46.0329,47.4918,969643.51755111
2015-11-30,47.7002,49.3653,42.1803,44.9912,797413.84310161
2015-12-31,44.7829,46.2936,37.0247,41.7113,1014917.8075086
2016-01-31,40.0956,41.6071,24.84,28.3283,890397.15330396
2016-02-29,28.3283,41.6581,25.6718,37.9922,999145.65533266
2016-03-31,38.1008,47.7741,35.2899,45.1794,1033806.804232
2016-04-30,44.5861,48.045,37.993,47.017,1352256.7187748
2016-05-31,47.7741,52.054,43.6666,50.0155,1081205.392885
2016-06-30,50.0155,54.4836,41.1854,45.6572,972885.64839117
2016-07-31,44.9309,46.9983,40.2968,40.85,745990.78031436
2016-08-31,40.7939,42.4296,32.3086,34.2526,1429705.9207573
2016-09-30,34.5959,34.9379,28.5345,30.3067,982360.07625609
2016-10-31,30.3067,32.8231,25.1596,26.0754,1348727.8215316
2016-11-30,25.8464,30.2499,23.159,28.3053,1097680.5403698
2016-12-31,28.3053,36.4249,27.6768,34.3675,1717712.6582537
2017-01-31,34.7677,39.7415,34.7101,36.3115,1163752.3549088
2017-02-28,36.0254,37.9686,29.0208,29.6774,2375481.0074868
2017-03-31,29.4482,30.4216,24.5886,26.5892,1843880.1311719
2017-04-30,26.5324,29.0481,25.7321,28.0762,885859.00536984
