Date,Open,High,Low,Close,Volume
2011-04-17,62.4846,64.134,60.9308,64.0952,531990.65589206
2011-04-24,64.0248,71.2213,62.0687,68.0713,844311.286584
2011-05-01,71.8283,74.5583,68.4628,68.6065,1123032.9177244
2011-05-08,69.4003,70.722,64.6706,69.9757,676512.57068488
2011-05-15,70.2293,73.2007,67.2854,68.0713,586562.58083482
2011-05-22,68.0311,69.9139,64.5299,65.3868,487149.29967919
2011-05-29,65.7755,72.3814,63.6677,71.5481,750914.53161589
2011-06-05,73.409,74.8666,70.4475,72.8842,558405.18259449
2011-06-12,73.1211,76.0666,70.8111,76.0666,450434.8476502
2011-06-19,77.0654,81.5189,71.7709,74.4428,676647.60146698
2011-06-26,74.7805,80.3047,73.9832,78.4298,352522.21786665
2011-07-03,78.5956,83.789,78.5956,79.9463,535515.37692556
2011-07-10,80.4919,86.0729,80.4919,86.0372,305666.5364818
2011-07-17,85.2472,86.892,81.375,86.3316,338975.98549028
2011-07-24,86.3316,93.5508,86.2176,88.3648,591876.11171353
2011-07-31,89.0465,90.3833,80.6639,84.0551,591536.44665343
2011-08-07,87.1791,88.2572,77.6828,78.6241,778459.4190921
2011-08-14,76.4472,89.3631,71.0302,87.5746,857871.43965955
2011-08-21,89.3631,90.4911,80.2688,80.3118,372485.89256702
2011-08-28,82.8622,84.8306,77.1655,84.3923,459687.93639808
2011-09-04,85.5196,90.5062,81.1089,84.2055,420341.08015331
2011-09-11,82.0576,89.1688,81.5481,89.1483,191969.22589303
2011-09-18,88.3081,101.26,87.6822,97.718,1113213.2565197
2011-09-25,96.3173,99.9669,87.0215,87.7186,696942.58880795
2011-10-02,89.1688,95.2187,84.0753,85.8723,438215.25790611
2011-10-09,84.9609,85.9944,68.077,77.97,809914.63096922
2011-10-16,79.8236,89.6437,79.1845,89.0538,320486.51283353
2011-10-23,89.2125,94.5139,86.842,91.5104,317444.84006174
2011-10-30,92.3381,94.865,87.6757,92.5092,309672.91370707
2011-11-06,92.143,98.8246,89.1626,91.3963,479945.33785126
2011-11-13,92.5965,92.5965,84.6147,86.6697,393101.05598923
2011-11-20,88.9753,88.9753,82.7182,84.4991,296842.20526879
2011-11-27,83.3798,85.0822,80.2115,80.7642,189349.35030652
2011-12-04,84.3058,88.1779,83.3369,87.848,215002.41476357
2011-12-11,88.7602,89.3488,85.2253,87.848,146685.1914461
2011-12-18,87.3441,88.5734,84.8808,85.2762,183465.07076126
2011-12-25,85.8076,85.9515,82.4312,85.6208,295263.59798128
2012-01-01,85.2472,92.6598,85.2472,92.6099,215878.02674227
2012-01-08,93.9615,104.27,93.6372,103.076,579084.38123296
2012-01-15,104.082,109.865,94.9666,101.389,877346.49781856
2012-01-22,102.825,107.997,99.3343,107.789,352204.82592524
2012-01-29,108.077,109.046,104.47,106.13,289870.71911723
2012-02-05,105.943,117.329,105.57,113.954,417614.01518308
2012-02-12,115.037,117.889,105.612,106.869,394278.74714024
2012-02-19,108.463,111.618,100.907,109.894,514204.17854412
2012-02-26,109.837,110.935,97.244,97.6601,620194.9900644
2012-03-04,96.9348,103.393,92.2223,98.5368,582322.33586326
2012-03-11,98.3069,98.3069,92.56,94.5719,498054.77542027
2012-03-18,95.6625,98.8389,94.7296,95.7997,414590.43932023
2012-03-25,95.9939,106.288,95.0735,105.52,350492.57992556
2012-04-01,106.475,107.516,97.7394,99.9811,319599.76429549
2012-04-08,100.778,105.44,99.7005,104.384,261539.31213709
2012-04-15,103.975,106.475,99.2487,105.339,350992.33302627
2012-04-22,106.475,107.401,102.337,106.094,301802.1503882
2012-04-29,104.85,105.714,102.387,105.635,303741.30378459
2012-05-06,105.369,111.625,104.614,107.488,505739.00137007
2012-05-13,106.97,107.135,85.6426,88.5087,828316.4032211
2012-05-20,87.1937,91.4035,80.37,80.6495,515384.65383496
2012-05-27,80.8008,87.3596,80.5635,83.2787,372875.67214419
2012-06-03,85.1687,85.1687,76.7775,77.5032,292369.48462083
2012-06-10,77.2371,85.4049,74.4145,84.7514,419450.15540551
2012-06-17,85.6062,85.6062,77.4673,78.0205,302342.27351656
2012-06-24,78.3726,92.5243,77.704,88.0849,353790.39356234
2012-07-01,88.9681,97.7028,88.5944,93.8172,322605.2432494
2012-07-08,94.5211,96.6399,92.323,96.5321,140443.1499318
2012-07-15,96.8341,96.8341,87.2657,90.6853,226532.92989803
2012-07-22,91.0301,97.5246,90.6996,96.7691,265470.51758678
2012-07-29,96.3316,96.8421,91.023,96.6835,247646.45435104
2012-08-05,97.2083,101.41,94.5362,97.5674,369618.22853503
2012-08-12,98.1564,103.989,95.1893,102.962,253919.12140354
2012-08-19,103.148,104.694,101.216,102.121,193706.52915124
2012-08-26,102.316,102.531,98.903,102.316,175864.36900657
2012-09-02,102.531,105.29,100.132,101.654,159503.37125511
2012-09-09,101.532,103.839,100.943,101.532,117226.20783202
2012-09-16,102.782,102.782,96.5392,101.806,233891.41148692
2012-09-23,101.727,109.419,101.41,108.414,269991.96068188
2012-09-30,107.106,109.068,103.565,104.169,251171.17538454
2012-10-07,104.104,107.085,99.3842,105.836,205617.07937343
2012-10-14,105.957,108.903,105.181,105.26,176510.28944873
2012-10-21,106.015,110.648,103.91,108.486,182664.63055816
2012-10-28,108.263,109.284,104.075,106.82,140277.49361151
2012-11-04,106.855,110.461,105.764,108.982,113226.79095634
2012-11-11,110.764,111.344,99.5419,102.222,277222.37183826
2012-11-18,103.183,103.183,92.5163,96.892,290589.02719515
2012-11-25,98.7088,104.687,98.7088,103.515,137787.08052741
2012-12-02,103.804,107.099,102.659,106.008,124535.96697376
2012-12-09,106.021,106.948,101.826,104.529,91418.623614022
2012-12-16,104.93,106.13,101.382,102.552,106089.64848449
2012-12-23,102.709,103.961,100.972,102.107,116079.14221923
2012-12-30,102.709,103.148,98.1421,99.0759,76928.567832957
2013-01-06,99.1979,106.417,99.1979,105.06,171054.76743835
2013-01-13,105.741,115.073,104.958,112.077,271397.9512995
2013-01-20,113.055,115.109,111.223,114.42,144791.97635702
2013-01-27,115.059,121.166,114.096,116.696,266433.82997034
2013-02-03,115.943,116.037,107.071,109.743,452742.89957496
2013-02-10,109.442,111.409,108.077,108.559,179678.6405831
2013-02-17,108.277,108.277,103.716,105.346,268324.26091958
2013-02-24,105.44,107.071,101.281,102.293,190308.48648032
2013-03-03,102.343,109.269,98.9253,108.437,282306.21118042
2013-03-10,109.14,109.419,105.879,107.343,127775.31367398
2013-03-17,107.422,107.797,99.5062,99.5062,247880.32209734
2013-03-24,99.5062,104.04,99.5062,102.395,222413.79500936
2013-03-31,102.143,102.912,100.685,101.733,158474.63158538
2013-04-07,101.684,101.733,93.1846,97.6173,275750.95393447
2013-04-14,97.4159,99.4626,96.2024,98.2704,164240.58518757
2013-04-21,97.4596,101.647,93.6016,101.166,171124.37093427
2013-04-28,100.749,104.541,99.2487,103.364,147425.77264271
2013-05-05,104.585,111.863,104.132,107.876,314140.06607535
2013-05-12,108.995,111.755,106.747,108.802,133949.14376227
2013-05-19,108.292,111.367,107.573,108.802,160860.6394256
2013-05-26,108.378,110.332,98.0049,101.869,2787778.7076514
2013-06-02,102.617,102.969,99.9081,100.857,561570.74958904
2013-06-09,102.387,102.617,100.928,102.58,377671.35301322
2013-06-16,102.667,104.413,94.3848,96.8849,660418.85035777
2013-06-23,97.5451,97.6743,91.9995,93.7156,323821.91235812
2013-06-30,92.6749,96.8484,87.4307,96.5535,378538.61257241
2013-07-07,95.1893,95.6927,88.2135,89.1768,249528.53288078
2013-07-14,89.4201,97.7884,89.4201,97.5451,298554.45126848
2013-07-21,96.9776,97.6173,92.8326,94.3848,219174.44830914
2013-07-28,95.764,99.1258,93.2639,94.9309,235238.93516797
2013-08-04,93.8029,94.6289,90.1828,92.4816,431036.3533367
2013-08-11,91.7634,91.9211,80.8503,84.4562,787985.35354401
2013-08-18,85.2617,85.8569,81.0159,81.1162,353903.15122574
2013-08-25,81.1162,81.7486,76.7563,80.0817,451047.3584143
2013-09-01,80.1613,82.4312,78.9543,81.0442,198950.45653401
2013-09-08,79.6723,81.2464,78.4589,78.89,141829.65157057
2013-09-15,79.6946,82.6317,78.2433,80.6424,283589.69964522
2013-09-22,81.9136,81.9136,78.7673,80.9512,239988.67772969
2013-09-29,81.0159,81.2464,76.9647,77.482,226908.78877601
2013-10-06,78.9185,78.9185,73.9548,73.9548,244515.68910447
2013-10-13,73.7538,79.7806,73.7538,79.105,334462.89481469
2013-10-20,78.6241,81.8344,76.483,80.9803,272986.30307645
2013-10-27,81.5836,85.4339,73.5814,73.5814,477187.64734281
2013-11-03,73.4016,79.9105,73.4016,78.3726,431634.94340163
2013-11-10,79.967,80.7642,76.7344,77.8195,326466.84520316
2013-11-17,77.6974,78.0489,75.341,76.3398,292948.58570691
2013-11-24,76.8638,78.2287,75.0252,75.5996,422438.92952042
2013-12-01,75.3767,77.0508,74.4502,76.4758,181179.29195518
2013-12-08,76.1674,76.3398,70.4475,71.064,419276.1466657
2013-12-15,70.893,72.403,68.3047,69.0584,416084.13034271
2013-12-22,69.1474,72.64,65.9134,70.9274,652609.33811532
2013-12-29,70.893,74.2492,70.0101,70.3592,439266.27069453
2014-01-05,69.7975,75.2547,68.9348,74.2061,617518.03961122
2014-01-12,75.0252,75.8583,73.9401,75.2547,223432.79018966
2014-01-19,75.5134,78.9185,75.341,78.3938,303936.19357317
2014-01-26,79.0983,79.5294,75.2547,77.7837,197101.78768232
2014-02-02,77.1655,78.4875,74.163,77.5177,324359.25134664
2014-02-09,77.87,78.1855,74.5941,75.3767,208363.63332252
2014-02-16,75.8941,78.2573,74.9456,78.1855,189095.99358136
2014-02-23,77.482,86.7482,76.4261,86.4538,373017.66327587
2014-03-02,86.8128,90.5125,86.5766,88.4723,537834.56540968
2014-03-09,87.5463,94.873,87.4096,93.6372,304378.87180724
2014-03-16,94.6146,95.282,90.6639,95.0601,446552.36464766
2014-03-23,95.1956,97.0631,90.6131,96.1231,346082.50242393
2014-03-30,96.4822,97.6387,92.8255,94.7866,281773.04840165
2014-04-06,94.8374,97.7394,93.0135,94.7002,208868.95470291
2014-04-13,94.8374,97.5095,92.9333,93.3218,165716.17930112
2014-04-20,93.3218,95.6562,90.8644,91.6752,154299.81389998
2014-04-27,92.086,95.2321,91.5834,93.9179,145102.40794883
2014-05-04,93.9179,96.2594,90.1605,93.9179,250732.67336023
